Dia;Muestra;Tiempo ;Turbidez 
3;1;0.5;205.5
3;2;1;296.3
3;3;1.5;379.7
3;4;2;434.6
3;5;2.5;485.9
3;6;3;488.3
3;7;3.5;460
3;8;4;319.6
3;9;4.5;383.2
3;10;5;324.6
3;11;5.5;287.4
3;12;6;266.6
3;13;6.5;238.2
3;14;7;217.6
3;15;7.5;155.7
3;16;8;124.6
3;17;8.5;102.9
3;18;9;80.67
3;19;9.5;69.65
3;20;10;61.26
3;21;10.5;43.48
3;22;11;37.07
3;23;11.5;24.38
3;24;12;20.2
3;25;12.5;20.03
3;26;13;15.43
3;27;13.5;10.73
3;28;14;10.32
3;29;14.5;9.77
3;30;15;9.6
3;31;15.5;1.27
3;32;16;1.48
3;33;16.5;1.56
3;34;17;2.32
3;35;17.5;1.9
3;36;18;1.56
