Dia;Muestra;Tiempo ;Turbidez 
6;1;0.5;79.8
6;2;1;262.4
6;3;1.5;303.7
6;4;2;382.6
6;5;2.5;335.1
6;6;3;241.7
6;7;3.5;216
6;8;4;156.1
6;9;4.5;151.6
6;10;5;115.2
6;11;5.5;85.74
6;12;6;73.8
6;13;6.5;57.17
6;14;7;40.13
6;15;7.5;30.19
6;16;8;28.39
6;17;8.5;22.3
6;18;9;22.4
6;19;9.5;16.27
6;20;10;16.95
6;21;10.5;14.04
6;22;11;13.36
6;23;11.5;12.45
6;24;12;10.09
6;25;12.5;11.55
6;26;13;10.15
6;27;13.5;10.68
6;28;14;9.39
6;29;14.5;11.9
6;30;15;9.23
6;31;15.5;0
6;32;16;0
6;33;16.5;0
6;34;17;0
6;35;17.5;0
6;36;18;0
6;37;18.5;249.5
6;38;19;0
6;39;19.5;1.86
6;40;20;0
6;41;20.5;0
6;42;21;0
