Dia;Muestra;Tiempo ;Turbidez 
4;1;0.5;197.36
4;2;1;243.5
4;3;1.5;261.19
4;4;2;313.7
4;5;2.5;391.2
4;6;3;466.1
4;7;3.5;419.11
4;8;4;440.59
4;9;4.5;386.4
4;10;5;339.6
4;11;5.5;266.1
4;12;6;270.7
4;13;6.5;269.49
4;14;7;222
4;15;7.5;143.2
4;16;8;120.17
4;17;8.5;91.4
4;18;9;90.8
4;19;9.5;66.4
4;20;10;52.54
4;21;10.5;44.49
4;22;11;31.82
4;23;11.5;29.33
4;24;12;29.16
4;25;12.5;27.12
4;26;13;24.19
4;27;13.5;21.6
4;28;14;17.21
4;29;14.5;17.6
4;30;15;10.14
4;31;15.5;1.56
4;32;16;0.71
4;33;16.5;0.33
4;34;17;0.13
4;35;17.5;0.06
4;36;18;0.02
4;37;18.5;7.02
4;38;19;6.31
4;39;19.5;4.2
4;40;20;3.87
4;41;20.5;2.12
4;42;21;2.18
