Dia;Muestra ;Tiempo ;Turbidez 
6;1;0.5;161.4
6;2;1;274.9
6;3;1.5;501.9
6;4;2;393.3
6;5;2.5;301.4
6;6;3;220.3
6;7;3.5;188.1
6;8;4;113.7
6;9;4.5;101.1
6;10;5;106.9
6;11;5.5;56.34
6;12;6;75.75
6;13;6.5;64.02
6;14;7;54.1
6;15;7.5;46.71
6;16;8;39.6
6;17;8.5;36.06
6;18;9;27.58
6;19;9.5;23.89
6;20;10;22.19
6;21;10.5;16.25
6;22;11;21.12
6;23;11.5;17.6
6;24;12;18.65
6;25;12.5;14.54
6;26;13;17.45
6;27;13.5;12.96
6;28;14;12.86
6;29;14.5;13.92
6;30;15;12.09
6;31;15.5;12.9
6;32;16;12.12
6;33;16.5;4.68
6;34;17;10.89
6;35;17.5;10.13
6;36;18;11.01
6;37;18.5;7.25
6;38;19;8.54
6;39;19.5;7.11
6;40;20;6.89
6;41;20.5;0
6;42;21;0
6;43;21.5;0
6;44;22;0
6;45;22.5;0
6;46;23;0
6;47;23.5;1
6;48;24;1.09
6;49;24.5;0
6;50;25;0
6;51;25.5;0
6;52;26;0
